date,var_mean,var_std
2002-01-05,-1.3902699,0.19910222
2002-01-10,-1.4559444,0.15496463
2002-01-15,-1.4709994,0.14863695
2002-01-20,-1.4745067,0.14683299
2002-01-25,-1.4792852,0.13975498
2002-01-30,-1.4833308,0.12813063
2002-02-04,-1.4919719,0.11288942
2002-02-09,-1.5025904,0.099965274
2002-02-14,-1.5095091,0.0907755
2002-02-19,-1.5124618,0.08431333
2002-02-24,-1.5131977,0.08092332
2002-03-01,-1.5078886,0.0742835
2002-03-06,-1.5107734,0.07125742
2002-03-11,-1.5142659,0.064712964
2002-03-16,-1.52979,0.06749006
2002-03-21,-1.5314674,0.070464954
2002-03-26,-1.5356641,0.074202664
2002-03-31,-1.530574,0.07439819
2002-04-05,-1.525263,0.07281336
2002-04-10,-1.5232416,0.07007411
2002-04-15,-1.5150993,0.06707869
2002-04-20,-1.5110817,0.06438082
2002-04-25,-1.5139754,0.06435767
2002-04-30,-1.5081977,0.06306157
2002-05-05,-1.5017847,0.06524115
2002-05-10,-1.5008068,0.06442553
2002-05-15,-1.4981397,0.065286376
2002-05-20,-1.4969636,0.06477213
2002-05-25,-1.4921783,0.06308902
2002-05-30,-1.483191,0.06365147
2002-06-04,-1.4835339,0.06695461
2002-06-09,-1.4800377,0.06780058
2002-06-14,-1.4733654,0.06789732
2002-06-19,-1.463271,0.070784956
2002-06-24,-1.3933873,0.19245918
2002-06-29,-1.1878415,0.6070984
2002-07-04,-0.73309916,1.1310143
2002-07-09,0.30157694,1.7838101
2002-07-14,1.4536091,2.298959
2002-07-19,2.442478,2.6520567
2002-07-24,3.3578224,2.908456
2002-07-29,4.171157,3.134037
2002-08-03,4.745667,3.345372
2002-08-08,5.5637383,3.4200912
2002-08-13,6.0760403,3.4406152
2002-08-18,6.5585713,3.5545647
2002-08-23,6.7826385,3.455916
2002-08-28,7.1238565,3.281913
2002-09-02,7.4157,3.0979612
2002-09-07,7.475942,2.9894037
2002-09-12,7.446677,2.7409856
2002-09-17,7.248252,2.4383883
2002-09-22,7.473682,2.286802
2002-09-27,7.3126507,1.944144
2002-10-02,6.8578196,1.5447568
2002-10-07,6.379864,1.2039018
2002-10-12,5.898729,0.874657
2002-10-17,5.3020225,0.6508272
2002-10-22,4.5920215,0.48475134
2002-10-27,4.1080217,0.45774433
2002-11-01,3.323867,0.57939947
2002-11-06,2.4528441,0.80358124
2002-11-11,1.0959753,1.1662145
2002-11-16,0.19150484,1.1279658
2002-11-21,-0.41601896,0.92515385
2002-11-26,-0.5268064,0.8226249
2002-12-01,-0.8909919,0.61706954
2002-12-06,-1.2863648,0.33332637
2002-12-11,-1.4973046,0.17570727
2002-12-16,-1.5548266,0.1301387
2002-12-21,-1.5485173,0.12016612
2002-12-26,-1.5413505,0.1181107
2002-12-31,-1.5606773,0.11161565
2003-01-05,-1.5836084,0.09950612
2003-01-10,-1.5928919,0.0999882
2003-01-15,-1.6242987,0.098803714
2003-01-20,-1.6206535,0.113744
2003-01-25,-1.6155766,0.11504544
2003-01-30,-1.6061474,0.116627425
2003-02-04,-1.5969661,0.11643999
2003-02-09,-1.6012299,0.115336776
2003-02-14,-1.5939429,0.118915826
2003-02-19,-1.5817448,0.11839286
2003-02-24,-1.5805248,0.11941615
2003-03-01,-1.5717161,0.11649806
2003-03-06,-1.5642393,0.1122059
2003-03-11,-1.5579662,0.10856939
2003-03-16,-1.5519766,0.105566636
2003-03-21,-1.540774,0.09925288
2003-03-26,-1.5323424,0.094873495
2003-03-31,-1.532389,0.09230364
2003-04-05,-1.5333608,0.09222508
2003-04-10,-1.5301721,0.09206321
2003-04-15,-1.5270451,0.0913361
2003-04-20,-1.5233662,0.09110203
2003-04-25,-1.5219299,0.091576256
2003-04-30,-1.5177472,0.089899376
2003-05-05,-1.513972,0.089276075
2003-05-10,-1.5087992,0.08805503
2003-05-15,-1.5014004,0.087826446
2003-05-20,-1.488883,0.089077085
2003-05-25,-1.4834216,0.09459791
2003-05-30,-1.4738289,0.0992204
2003-06-04,-1.4627064,0.10340236
2003-06-09,-1.4599364,0.10558384
2003-06-14,-1.4496517,0.10336862
2003-06-19,-1.4426252,0.10842591
2003-06-24,-1.4028219,0.1769531
2003-06-29,-1.2571056,0.4492523
2003-07-04,-1.0681725,0.8288277
2003-07-09,-0.8065399,1.2267268
2003-07-14,-0.33573475,1.8020236
2003-07-19,0.41187266,2.28227
2003-07-24,1.0530522,2.82524
2003-07-29,1.8987848,3.234606
