date,var_mean,var_std
2002-01-05,-1.1985044,0.26732883
2002-01-10,-1.2449471,0.21892297
2002-01-15,-1.2922761,0.17647928
2002-01-20,-1.3286706,0.15200388
2002-01-25,-1.3521509,0.1409789
2002-01-30,-1.3668643,0.1342535
2002-02-04,-1.38188,0.12595348
2002-02-09,-1.3932843,0.12162261
2002-02-14,-1.3989096,0.12039053
2002-02-19,-1.4021031,0.118955374
2002-02-24,-1.4079345,0.11878631
2002-03-01,-1.4110985,0.118308775
2002-03-06,-1.414055,0.11703864
2002-03-11,-1.420871,0.11620514
2002-03-16,-1.4260896,0.11635759
2002-03-21,-1.427417,0.11601163
2002-03-26,-1.429422,0.11625949
2002-03-31,-1.4277574,0.11479506
2002-04-05,-1.4325352,0.11489133
2002-04-10,-1.4329871,0.11496037
2002-04-15,-1.4303496,0.11496851
2002-04-20,-1.4368389,0.114042014
2002-04-25,-1.4367628,0.1147984
2002-04-30,-1.4381758,0.11573185
2002-05-05,-1.4377124,0.117567815
2002-05-10,-1.4368511,0.11868643
2002-05-15,-1.4381161,0.12064567
2002-05-20,-1.4360627,0.12197749
2002-05-25,-1.4315778,0.12353029
2002-05-30,-1.4196572,0.12834214
2002-06-04,-1.4159914,0.13326856
2002-06-09,-1.4066365,0.13804014
2002-06-14,-1.3932204,0.14581686
2002-06-19,-1.3749919,0.15173759
2002-06-24,-1.3350848,0.18215758
2002-06-29,-1.2848097,0.25889292
2002-07-04,-1.157907,0.44150984
2002-07-09,-0.8852871,0.8988011
2002-07-14,-0.57836026,1.371428
2002-07-19,-0.2601927,1.8474679
2002-07-24,0.00026269667,2.2061107
2002-07-29,0.36825043,2.5700946
2002-08-03,0.95103055,2.89796
2002-08-08,1.8499467,3.293986
2002-08-13,2.5147555,3.527124
2002-08-18,3.333942,3.6899662
2002-08-23,4.2224307,3.619405
2002-08-28,5.051554,3.6049414
2002-09-02,5.787907,3.490231
2002-09-07,6.2540865,3.4113343
2002-09-12,6.489249,3.2349484
2002-09-17,6.5465007,3.0594378
2002-09-22,6.927797,2.9668913
2002-09-27,6.959037,2.7617881
2002-10-02,6.6335874,2.355747
2002-10-07,6.1437416,1.9119483
2002-10-12,5.542578,1.4186696
2002-10-17,5.0227737,1.152814
2002-10-22,4.305922,0.8091807
2002-10-27,3.8631535,0.57011473
2002-11-01,3.127807,0.44920915
2002-11-06,2.274853,0.5363947
2002-11-11,1.1074697,0.8887421
2002-11-16,0.26220345,0.9876621
2002-11-21,-0.30291772,0.85278386
2002-11-26,-0.38477814,0.76186323
2002-12-01,-0.74315333,0.5564296
2002-12-06,-1.1065011,0.28163216
2002-12-11,-1.2470455,0.21944852
2002-12-16,-1.2759284,0.21575162
2002-12-21,-1.2898715,0.20884147
2002-12-26,-1.3056602,0.20300584
2002-12-31,-1.3216035,0.20062977
2003-01-05,-1.339707,0.20010398
2003-01-10,-1.350378,0.19848277
2003-01-15,-1.3687167,0.20312156
2003-01-20,-1.3689361,0.20249435
2003-01-25,-1.3732405,0.19995205
2003-01-30,-1.3737364,0.19654083
2003-02-04,-1.3737133,0.19212326
2003-02-09,-1.3829793,0.1904787
2003-02-14,-1.383064,0.18752645
2003-02-19,-1.3820416,0.18327759
2003-02-24,-1.3869219,0.18035589
2003-03-01,-1.3865559,0.17601025
2003-03-06,-1.3887897,0.17312007
2003-03-11,-1.3905756,0.17053394
2003-03-16,-1.3915159,0.16769084
2003-03-21,-1.3922029,0.16477679
2003-03-26,-1.3937101,0.1627641
2003-03-31,-1.3978273,0.16130987
2003-04-05,-1.3996847,0.16034284
2003-04-10,-1.39713,0.15793945
2003-04-15,-1.4007636,0.15730989
2003-04-20,-1.3999901,0.15638264
2003-04-25,-1.4035922,0.15434271
2003-04-30,-1.4030193,0.15321828
2003-05-05,-1.402256,0.15252449
2003-05-10,-1.3950837,0.15369058
2003-05-15,-1.3773966,0.16061452
